TransactionID,Date,CustomerID,CustomerName,CustomerCity,CustomerCountry,ProductID,ProductName,ProductCategory,ProductSubcategory,UnitPrice,Quantity,TotalAmount
T000001,2023-12-04,C0978,Sarah Smith,Dallas,UK,P0028,Deluxe Camera,Books,Magazines,736.53,1,736.53
T000002,2023-04-05,C0456,Sarah Brown,San Jose,Brazil,P0408,Ultra Headphones,Books,Children's Books,735.03,2,1470.06
T000003,2023-04-13,C0526,Mary Smith,San Antonio,Spain,P0215,Premium Speaker,Books,Fiction,691.76,3,2075.28
T000004,2023-06-17,C0149,John Moore,San Diego,Canada,P0080,Wireless Mouse,Books,Children's Books,247.4,2,494.8
T000005,2023-07-16,C0077,Michael Smith,Houston,UK,P0225,Wireless Tablet,Clothing,Women's,276.04,5,1380.2
T000006,2023-01-15,C0585,Emily Anderson,New York,USA,P0339,Ultra Mouse,Books,Children's Books,27.14,1,27.14
T000007,2023-05-24,C0649,Sarah Miller,New York,USA,P0475,Super Keyboard,Electronics,Computers,476.79,1,476.79
T000008,2023-09-06,C0589,Michael Anderson,Los Angeles,Spain,P0139,Portable Monitor,Clothing,Women's,79.98,5,399.9
T000009,2023-02-10,C0986,Sarah Wilson,Dallas,Australia,P0300,Basic Keyboard,Clothing,Accessories,663.43,5,3317.15
T000010,2023-04-10,C0210,Jane Miller,Chicago,Spain,P0021,Ultra Camera,Sports & Outdoors,Camping,590.18,4,2360.72
T000011,2023-01-29,C0654,William Johnson,Phoenix,France,P0070,Premium Camera,Home & Garden,Garden,898.49,3,2695.47
T000012,2023-03-04,C0115,John Brown,San Jose,France,P0288,Eco-friendly Tablet,Clothing,Shoes,89.4,3,268.2
T000013,2023-05-09,C0339,William Miller,Philadelphia,Spain,P0102,Super Smartphone,Electronics,Computers,569.01,2,1138.02
T000014,2023-02-04,C0976,William Smith,Houston,Canada,P0408,Premium Keyboard,Books,Textbooks,60.79,5,303.95
T000015,2023-12-17,C0170,John Johnson,Dallas,Japan,P0146,Basic Speaker,Electronics,Audio,726.25,2,1452.5
T000016,2023-07-25,C0076,Sarah Thompson,San Jose,Spain,P0242,Ultra Keyboard,Clothing,Men's,855.38,5,4276.9
T000017,2023-10-24,C0185,Mary Wilson,Phoenix,Brazil,P0273,Ergonomic Tablet,Sports & Outdoors,Water Sports,462.98,1,462.98
T000018,2023-04-19,C0643,John Anderson,Phoenix,France,P0477,Smart Tablet,Sports & Outdoors,Cycling,571.61,2,1143.22
T000019,2023-12-26,C0133,Emily Brown,New York,Spain,P0318,Deluxe Monitor,Home & Garden,Decor,383.81,3,1151.43
T000020,2023-08-25,C0288,Michael Johnson,Dallas,Germany,P0099,Smart Tablet,Electronics,Computers,220.59,5,1102.95
T000021,2023-06-29,C0185,John Brown,Chicago,USA,P0068,Portable Headphones,Electronics,Cameras,568.19,5,2840.95
T000022,2023-01-16,C0663,Lisa Taylor,San Jose,Canada,P0054,Deluxe Smartphone,Electronics,Accessories,141.7,2,283.4
T000023,2023-01-10,C0906,Lisa Smith,San Antonio,USA,P0212,Ultra Smartwatch,Electronics,Audio,824.62,2,1649.24
T000024,2023-10-07,C0464,Jane Brown,Phoenix,Mexico,P0119,Super Headphones,Sports & Outdoors,Camping,568.99,3,1706.97
T000025,2023-07-14,C0509,Mary Miller,New York,Australia,P0499,Premium Smartwatch,Sports & Outdoors,Cycling,168.93,2,337.86
T000026,2023-08-02,C0941,John Smith,Phoenix,UK,P0224,Basic Speaker,Books,Textbooks,558.87,3,1676.61
T000027,2023-07-23,C0155,Jane Johnson,Phoenix,Brazil,P0264,Ergonomic Speaker,Electronics,Cameras,435.98,1,435.98
T000028,2023-12-18,C0834,Robert Thompson,Philadelphia,Canada,P0150,Wireless Monitor,Home & Garden,Garden,548.11,1,548.11
T000029,2023-06-13,C0171,Sarah Anderson,Phoenix,USA,P0023,Portable Tablet,Clothing,Men's,259.32,1,259.32
T000030,2023-01-31,C0967,Mary Moore,Chicago,France,P0198,Ergonomic Smartphone,Home & Garden,Garden,444.25,3,1332.75
T000031,2023-05-02,C0065,David Moore,San Jose,UK,P0232,Deluxe Smartphone,Clothing,Accessories,871.43,1,871.43
T000032,2023-02-23,C0229,Emily Miller,Philadelphia,France,P0462,Basic Camera,Books,Children's Books,103.75,2,207.5
T000033,2023-05-27,C0781,Michael Taylor,Philadelphia,Australia,P0082,Portable Mouse,Electronics,Smartphones,732.35,1,732.35
T000034,2023-09-14,C0260,Sarah Taylor,Los Angeles,Brazil,P0012,Super Laptop,Clothing,Children's,113.31,4,453.24
T000035,2023-02-03,C0835,Mary Miller,Houston,Germany,P0041,Wireless Headphones,Clothing,Children's,832.84,5,4164.2
T000036,2023-01-19,C0398,William Wilson,San Antonio,Germany,P0087,Premium Camera,Home & Garden,Kitchenware,628.74,5,3143.7
T000037,2023-10-12,C0531,Emily Moore,San Diego,UK,P0387,Basic Smartwatch,Electronics,Audio,319.42,5,1597.1
T000038,2023-04-22,C0768,William Brown,Chicago,USA,P0306,Ultra Mouse,Clothing,Shoes,407.86,2,815.72
T000039,2023-08-23,C0995,Mary Taylor,Los Angeles,Australia,P0054,Super Smartphone,Home & Garden,Bedding,622.99,4,2491.96
T000040,2023-04-10,C1000,Emily Anderson,San Diego,France,P0057,Deluxe Speaker,Sports & Outdoors,Water Sports,312.67,4,1250.68
T000041,2023-02-11,C0935,Michael Davis,San Antonio,Germany,P0053,Deluxe Monitor,Home & Garden,Decor,443.23,5,2216.15
T000042,2023-03-23,C0561,Jane Johnson,Los Angeles,Germany,P0168,Super Speaker,Clothing,Men's,99.85,4,399.4
T000043,2023-03-29,C0740,Mary Smith,New York,UK,P0205,Smart Headphones,Books,Fiction,139.69,2,279.38
T000044,2023-05-09,C0286,William Davis,San Jose,France,P0371,Super Tablet,Clothing,Children's,981.62,5,4908.1
T000045,2023-05-18,C0573,David Smith,San Jose,Brazil,P0053,Ultra Smartphone,Books,Children's Books,652.73,1,652.73
T000046,2023-03-09,C0190,Mary Wilson,New York,Brazil,P0072,Portable Monitor,Books,Textbooks,636.06,3,1908.18
T000047,2023-01-09,C0450,William Thompson,San Diego,Japan,P0055,Smart Mouse,Home & Garden,Garden,389.49,5,1947.45
T000048,2023-08-01,C0983,William Taylor,Dallas,UK,P0294,Wireless Headphones,Clothing,Shoes,603.25,3,1809.75
T000049,2023-06-03,C0644,David Brown,San Jose,USA,P0495,Wireless Laptop,Clothing,Children's,909.63,1,909.63
T000050,2023-10-24,C0121,Jane Miller,Phoenix,Brazil,P0063,Wireless Mouse,Books,Children's Books,269.96,5,1349.8
T000051,2023-01-29,C0369,Mary Wilson,Los Angeles,Canada,P0279,Eco-friendly Headphones,Clothing,Accessories,641.41,2,1282.82
T000052,2023-02-11,C0263,Michael Taylor,Los Angeles,UK,P0244,Basic Mouse,Electronics,Cameras,491.83,4,1967.32
T000053,2023-01-04,C0833,John Brown,Houston,France,P0463,Ergonomic Tablet,Sports & Outdoors,Cycling,596.84,3,1790.52
